price,depreciation,mileage,brand,carage,Cluster
238888.0,26790.0,10000.0,suzuki,1.0,1
42800.0,11660.0,0.0,citroen,7.0,3
51800.0,9060.0,0.0,toyota,14.0,1
22802.0,16210.0,0.0,honda,8.0,0
20800.0,9010.0,0.0,citroen,8.0,3
55500.0,18500.0,0.0,subaru,17.0,1
262000.0,29180.0,12800.0,suzuki,1.0,1
175800.0,29350.0,45300.0,volvo,5.0,1
36800.0,12620.0,0.0,toyota,7.0,1
227000.0,25410.0,16000.0,suzuki,1.0,1
58800.0,9810.0,0.0,suzuki,14.0,1
240000.0,29730.0,40000.0,audi,3.0,3
105000.0,22440.0,0.0,porsche,15.0,2
70800.0,13220.0,0.0,toyota,5.0,1
41800.0,11480.0,89347.0,mazda,7.0,2
31800.0,10560.0,0.0,mercedes-benz,17.0,2
227000.0,24640.0,9800.0,suzuki,1.0,1
89800.0,13790.0,0.0,bmw,13.0,3
228000.0,25500.0,10500.0,suzuki,1.0,1
57800.0,12300.0,0.0,bmw,6.0,3
72000.0,14630.0,105577.0,bmw,6.0,3
200800.0,22930.0,40000.0,mercedes-benz,2.0,2
225000.0,24950.0,11000.0,suzuki,1.0,1
226000.0,25040.0,10000.0,suzuki,1.0,1
230800.0,25830.0,9000.0,suzuki,1.0,1
226800.0,25130.0,10500.0,suzuki,1.0,1
226500.0,25090.0,9500.0,suzuki,1.0,1
227000.0,25420.0,12500.0,suzuki,1.0,1
212800.0,29390.0,48000.0,toyota,4.0,1
128800.0,15230.0,19320.0,seat,2.0,1
79800.0,15950.0,86000.0,mercedes-benz,6.0,2
108688.0,12390.0,0.0,honda,1.0,0
117688.0,13470.0,0.0,toyota,1.0,1
173688.0,19740.0,0.0,mercedes-benz,2.0,2
32800.0,14980.0,71000.0,bmw,8.0,3
190800.0,28690.0,89996.0,mercedes-benz,5.0,2
34800.0,11010.0,166000.0,suzuki,7.0,1
87800.0,14800.0,134589.0,bmw,14.0,3
52800.0,11080.0,98000.0,honda,10.0,0
77800.0,12400.0,38000.0,honda,4.0,0
72800.0,19560.0,130000.0,mercedes-benz,7.0,2
34500.0,11340.0,80000.0,toyota,7.0,1
50800.0,20240.0,0.0,honda,17.0,0
51800.0,16110.0,27500.0,honda,7.0,0
91800.0,17540.0,118000.0,toyota,6.0,1
15800.0,13360.0,98000.0,mazda,9.0,2
69800.0,11640.0,0.0,audi,14.0,3
15800.0,11750.0,113117.0,nissan,8.0,2
85800.0,16300.0,125000.0,bmw,7.0,3
30000.0,10290.0,0.0,citroen,7.0,3
88800.0,14440.0,62168.0,hyundai,4.0,0
59800.0,14140.0,153000.0,mitsubishi,15.0,2
180800.0,23590.0,41000.00000000001,toyota,3.0,1
47800.0,16550.0,71000.0,jaguar,8.0,0
35800.0,13560.0,141000.0,mercedes-benz,8.0,2
45188.0,12990.0,122000.0,peugeot,7.0,2
33000.0,13750.0,155000.0,audi,8.0,3
144888.0,14510.0,12850.0,toyota,0.0,1
185800.0,24560.0,66700.0,bmw,4.0,3
30800.0,13130.0,86000.0,mitsubishi,7.0,2
90800.0,18760.0,76099.0,mercedes-benz,6.0,2
36900.0,10600.0,130000.0,mitsubishi,16.0,2
110800.0,18560.0,33232.0,audi,4.0,3
92800.0,20890.0,68987.0,toyota,6.0,1
156000.0,19460.0,100000.0,maserati,11.0,2
87000.0,13340.0,60548.0,hyundai,4.0,0
73500.0,15860.0,90000.0,subaru,6.0,1
26800.0,13310.0,0.0,hyundai,8.0,0
182800.0,23770.0,69000.0,bmw,3.0,3
78800.0,14340.0,78100.0,toyota,5.0,1
74800.0,15630.0,117500.0,jaguar,6.0,0
137800.0,24520.0,72000.0,toyota,5.0,1
42000.0,18050.0,120000.0,mercedes-benz,8.0,2
32800.0,9340.0,0.0,mitsubishi,16.0,2
25800.0,11890.0,142088.0,honda,8.0,0
11300.0,7930.000000000001,135000.0,chevrolet,13.0,3
54300.0,12840.0,132247.0,bmw,7.0,3
62000.0,12990.0,89931.0,mazda,5.0,2
104800.0,15320.0,59000.0,toyota,3.0,1
173000.0,17290.0,119000.0,porsche,10.0,2
111800.0,19180.0,78995.0,mercedes-benz,5.0,2
46000.0,13050.0,136000.0,volkswagen,7.0,1
121800.0,16070.0,31800.0,bmw,3.0,3
120500.0,17270.0,59000.0,mercedes-benz,4.0,2
166888.0,25040.0,98000.0,land,5.0,0
26800.0,20760.0,75498.0,toyota,9.0,1
58988.0,20140.0,0.0,mercedes-benz,8.0,2
87800.0,14850.0,27000.0,mazda,4.0,2
29800.0,15250.0,102000.0,bmw,8.0,3
84000.0,10190.0,0.0,mercedes-benz,1.0,2
19800.0,11800.0,76000.0,honda,9.0,0
41800.0,18040.0,83200.0,mercedes-benz,8.0,2
39800.0,14580.0,160000.0,audi,8.0,3
