name,price,depreciation,registration_date,mileage,owners,listing_url,brand
Suzuki Landy Hybrid 1.8A G,238888,26790.0,16-Jun-2023,10000,1.0,https://www.sgcarmart.com/used_cars/info.php?ID=1354259&DL=1000&utm_content=SLeligible,suzuki
Citroen DS5 Diesel 1.6A BlueHDi EAT6 Panoramic Roof,42800,11660.0,29-Jun-2017,0,,https://www.sgcarmart.com/used_cars/info.php?ID=1354968&DL=4119,citroen
Toyota Corolla Altis 1.6A (COE till 08/2030),51800,9060.0,16-Aug-2010,0,5.0,https://www.sgcarmart.com/used_cars/info.php?ID=1354981&DL=4119&utm_content=SLeligible,toyota
Honda Vezel 1.5A X,22802,16210.0,05-Jan-2016,0,4.0,https://www.sgcarmart.com/used_cars/info.php?ID=1354860&DL=4119,honda
Citroen C4 1.2A PureTech,20800,9010.0,27-Sep-2016,0,3.0,https://www.sgcarmart.com/used_cars/info.php?ID=1354869&DL=4119,citroen
Subaru Impreza WRX 2.5M STI-S (COE till 11/2027),55500,18500.0,27-Nov-2007,0,6.0,https://www.sgcarmart.com/used_cars/info.php?ID=1320330&DL=1220&utm_content=SLeligible,subaru
Suzuki Landy Hybrid 1.8A G,262000,29180.0,26-Jul-2023,12800,1.0,https://www.sgcarmart.com/used_cars/info.php?ID=1345636&DL=1000&utm_content=SLeligible,suzuki
Volvo XC90 T5 Momentum,175800,29350.0,26-Jul-2019,45300,1.0,https://www.sgcarmart.com/used_cars/info.php?ID=1355164&DL=4475,volvo
Toyota Wish 1.8A X,36800,12620.0,12-Jan-2017,0,2.0,https://www.sgcarmart.com/used_cars/info.php?ID=1355476&DL=4119,toyota
Suzuki Landy Hybrid 1.8A G,227000,25410.0,21-Jun-2023,16000,1.0,https://www.sgcarmart.com/used_cars/info.php?ID=1345637&DL=1000&utm_content=SLeligible,suzuki
Suzuki Swift Sport 1.6A (COE till 11/2030),58800,9810.0,24-Nov-2010,0,6.0,https://www.sgcarmart.com/used_cars/info.php?ID=1355491&DL=4119&utm_content=SLeligible,suzuki
Audi A8L Mild Hybrid 3.0A TFSI Quattro Tip Sunroof,240000,29730.0,05-Jan-2021,40000,2.0,https://www.sgcarmart.com/used_cars/info.php?ID=1355092&DL=3707,audi
Porsche Boxster S 3.4A PDK (COE till 07/2029),105000,22440.0,29-Sep-2009,0,5.0,https://www.sgcarmart.com/used_cars/info.php?ID=1309683&DL=1220&utm_content=SLeligible,porsche
Toyota Corolla Altis 1.6A Standard,70800,13220.0,19-Jul-2019,0,1.0,https://www.sgcarmart.com/used_cars/info.php?ID=1354873&DL=4119,toyota
Mazda 5 2.0A Sunroof,41800,11480.0,16-Oct-2017,89347,1.0,https://www.sgcarmart.com/used_cars/info.php?ID=1346256&DL=2469&utm_content=SLeligible,mazda
Mercedes-Benz C-Class C200K (COE till 11/2027),31800,10560.0,03-Jan-2008,0,4.0,https://www.sgcarmart.com/used_cars/info.php?ID=1354863&DL=4119&utm_content=SLeligible,mercedes-benz
Suzuki Landy Hybrid 1.8A G,227000,24640.0,04-Oct-2023,9800,1.0,https://www.sgcarmart.com/used_cars/info.php?ID=1345638&DL=1000&utm_content=SLeligible,suzuki
BMW 5 Series 528i Sunroof (COE till 05/2031),89800,13790.0,17-Aug-2011,0,3.0,https://www.sgcarmart.com/used_cars/info.php?ID=1354872&DL=4119&utm_content=SLeligible,bmw
Suzuki Landy Hybrid 1.8A G,228000,25500.0,20-Jun-2023,10500,1.0,https://www.sgcarmart.com/used_cars/info.php?ID=1354265&DL=1000&utm_content=SLeligible,suzuki
BMW 1 Series 116d,57800,12300.0,27-Apr-2018,0,4.0,https://www.sgcarmart.com/used_cars/info.php?ID=1355484&DL=4119,bmw
BMW 3 Series 318i Shadow Edition,72000,14630.0,26-Jun-2018,105577,2.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289423&DL=4517&utm_content=SLeligible,bmw
Mercedes-Benz C-Class C180 Mild Hybrid Avantgarde,200800,22930.0,29-Jul-2022,40000,1.0,https://www.sgcarmart.com/used_cars/info.php?ID=1322014&DL=2410&utm_content=SLeligible,mercedes-benz
Suzuki Landy Hybrid 1.8A G,225000,24950.0,24-Jul-2023,11000,,https://www.sgcarmart.com/used_cars/info.php?ID=1354100&DL=4715,suzuki
Suzuki Landy Hybrid 1.8A G,226000,25040.0,27-Jul-2023,10000,1.0,https://www.sgcarmart.com/used_cars/info.php?ID=1354079&DL=4715,suzuki
Suzuki Landy Hybrid 1.8A G,230800,25830.0,20-Jun-2023,9000,1.0,https://www.sgcarmart.com/used_cars/info.php?ID=1354063&DL=4715,suzuki
Subaru Impreza WRX 2.5M STI-S (COE till 11/2027),55500,18500.0,27-Nov-2007,0,6.0,https://www.sgcarmart.com/used_cars/info.php?ID=1320330&DL=1220&utm_content=SLeligible,subaru
Mercedes-Benz C-Class C200K (COE till 11/2027),31800,10560.0,03-Jan-2008,0,4.0,https://www.sgcarmart.com/used_cars/info.php?ID=1354863&DL=4119&utm_content=SLeligible,mercedes-benz
Volvo XC90 T5 Momentum,175800,29350.0,26-Jul-2019,45300,1.0,https://www.sgcarmart.com/used_cars/info.php?ID=1355164&DL=4475,volvo
Suzuki Landy Hybrid 1.8A G,226800,25130.0,28-Jul-2023,10500,1.0,https://www.sgcarmart.com/used_cars/info.php?ID=1354099&DL=4715,suzuki
Suzuki Landy Hybrid 1.8A G,226500,25090.0,28-Jul-2023,9500,1.0,https://www.sgcarmart.com/used_cars/info.php?ID=1354090&DL=4715,suzuki
Suzuki Landy Hybrid 1.8A G,227000,24640.0,04-Oct-2023,9800,1.0,https://www.sgcarmart.com/used_cars/info.php?ID=1345638&DL=1000&utm_content=SLeligible,suzuki
