name,price,depreciation,mileage,brand,carage,brand_encoded,price_scaled,mileage_scaled,depreciation_scaled,carage_scaled,Cluster_KMeans
Suzuki Landy Hybrid 1.8A G,238888.0,26790.0,10000.0,suzuki,2.0,56,2.458154761904762,-0.8974358974358975,1.8684627575277337,-1.5,2
Citroen DS5 Diesel 1.6A BlueHDi EAT6 Panoramic Roof,42800.0,11660.0,0.0,citroen,8.0,12,-0.45982142857142855,-1.0256410256410255,-0.5293185419968305,0.0,1
Toyota Corolla Altis 1.6A (COE till 08/2030),51800.0,9060.0,0.0,toyota,15.0,58,-0.32589285714285715,-1.0256410256410255,-0.9413629160063391,1.75,2
Honda Vezel 1.5A X,22802.0,16210.0,0.0,honda,9.0,21,-0.7574107142857143,-1.0256410256410255,0.19175911251980982,0.25,3
Citroen C4 1.2A PureTech,20800.0,9010.0,0.0,citroen,9.0,12,-0.7872023809523809,-1.0256410256410255,-0.9492868462757528,0.25,1
Subaru Impreza WRX 2.5M STI-S (COE till 11/2027),55500.0,18500.0,0.0,subaru,18.0,55,-0.2708333333333333,-1.0256410256410255,0.554675118858954,2.5,2
Suzuki Landy Hybrid 1.8A G,262000.0,29180.0,12800.0,suzuki,2.0,56,2.8020833333333335,-0.8615384615384616,2.2472266244057053,-1.5,2
Volvo XC90 T5 Momentum,175800.0,29350.0,45300.0,volvo,6.0,62,1.5193452380952381,-0.44487179487179485,2.2741679873217118,-0.5,2
Toyota Wish 1.8A X,36800.0,12620.0,0.0,toyota,8.0,58,-0.5491071428571429,-1.0256410256410255,-0.37717908082408874,0.0,2
Suzuki Landy Hybrid 1.8A G,227000.0,25410.0,16000.0,suzuki,2.0,56,2.28125,-0.8205128205128205,1.6497622820919176,-1.5,2
Suzuki Swift Sport 1.6A (COE till 11/2030),58800.0,9810.0,0.0,suzuki,15.0,56,-0.22172619047619047,-1.0256410256410255,-0.8225039619651348,1.75,2
Audi A8L Mild Hybrid 3.0A TFSI Quattro Tip Sunroof,240000.0,29730.0,40000.0,audi,4.0,4,2.474702380952381,-0.5128205128205128,2.334389857369255,-1.0,1
Porsche Boxster S 3.4A PDK (COE till 07/2029),105000.0,22440.0,0.0,porsche,16.0,46,0.46577380952380953,-1.0256410256410255,1.179080824088748,2.0,0
Toyota Corolla Altis 1.6A Standard,70800.0,13220.0,0.0,toyota,6.0,58,-0.043154761904761904,-1.0256410256410255,-0.2820919175911252,-0.5,2
Mazda 5 2.0A Sunroof,41800.0,11480.0,89347.0,mazda,8.0,34,-0.47470238095238093,0.11983333333333333,-0.5578446909667195,0.0,0
Mercedes-Benz C-Class C200K (COE till 11/2027),31800.0,10560.0,0.0,mercedes-benz,17.0,35,-0.6235119047619048,-1.0256410256410255,-0.7036450079239303,2.25,0
Suzuki Landy Hybrid 1.8A G,227000.0,24640.0,9800.0,suzuki,2.0,56,2.28125,-0.9,1.5277337559429478,-1.5,2
BMW 5 Series 528i Sunroof (COE till 05/2031),89800.0,13790.0,0.0,bmw,14.0,7,0.23958333333333334,-1.0256410256410255,-0.19175911251980982,1.5,1
Suzuki Landy Hybrid 1.8A G,228000.0,25500.0,10500.0,suzuki,2.0,56,2.2961309523809526,-0.8910256410256411,1.6640253565768621,-1.5,2
BMW 1 Series 116d,57800.0,12300.0,0.0,bmw,7.0,7,-0.23660714285714285,-1.0256410256410255,-0.42789223454833597,-0.25,1
BMW 3 Series 318i Shadow Edition,72000.0,14630.0,105577.0,bmw,7.0,7,-0.025297619047619048,0.3279102564102564,-0.058637083993660855,-0.25,1
Mercedes-Benz C-Class C180 Mild Hybrid Avantgarde,200800.0,22930.0,40000.0,mercedes-benz,3.0,35,1.8913690476190477,-0.5128205128205128,1.2567353407290016,-1.25,0
Suzuki Landy Hybrid 1.8A G,225000.0,24950.0,11000.0,suzuki,2.0,56,2.2514880952380953,-0.8846153846153846,1.5768621236133122,-1.5,2
Suzuki Landy Hybrid 1.8A G,226000.0,25040.0,10000.0,suzuki,2.0,56,2.2663690476190474,-0.8974358974358975,1.5911251980982568,-1.5,2
Suzuki Landy Hybrid 1.8A G,230800.0,25830.0,9000.0,suzuki,2.0,56,2.337797619047619,-0.9102564102564102,1.7163232963549921,-1.5,2
Suzuki Landy Hybrid 1.8A G,226800.0,25130.0,10500.0,suzuki,2.0,56,2.2782738095238093,-0.8910256410256411,1.6053882725832012,-1.5,2
Suzuki Landy Hybrid 1.8A G,226500.0,25090.0,9500.0,suzuki,2.0,56,2.2738095238095237,-0.9038461538461539,1.5990491283676704,-1.5,2
Suzuki Landy Hybrid 1.8A G,227000.0,25420.0,12500.0,suzuki,2.0,56,2.28125,-0.8653846153846154,1.6513470681458002,-1.5,2
Toyota Alphard Hybrid 2.5A SR C-Package Moonroof,212800.0,29390.0,48000.0,toyota,5.0,58,2.0699404761904763,-0.41025641025641024,2.2805071315372425,-0.75,2
SEAT Leon Mild Hybrid 1.5A TSI FR,128800.0,15230.0,19320.000000000007,seat,3.0,51,0.8199404761904762,-0.7779487179487179,0.03645007923930269,-1.25,2
Mercedes-Benz CLA-Class CLA180 Shooting Brake Urban,79800.0,15950.0,86000.0,mercedes-benz,7.0,35,0.09077380952380952,0.07692307692307693,0.15055467511885895,-0.25,0
Honda Fit 1.3A,108688.0,12390.0,0.0,honda,2.0,21,0.5206547619047619,-1.0256410256410255,-0.41362916006339145,-1.5,3
Toyota Raize 1.2A X,117688.0,13470.0,0.0,toyota,2.0,58,0.6545833333333333,-1.0256410256410255,-0.24247226624405704,-1.5,2
Mercedes-Benz CLA-Class CLA180 AMG Line Premium Plus,173688.0,19740.0,0.0,mercedes-benz,3.0,35,1.4879166666666668,-1.0256410256410255,0.751188589540412,-1.25,0
