Nama Akun,Komentar,Sumber
@azzahrasyamilarahmat5028,11/100 Is Real...,Narasi Newsroom
@faritrohman3969,Saya kecewa cuma gara gara beberapa anak keluarga koruptor uu prampasan aset ga di lakukan . dan lebih memilih rakyatnya menderita lebih parah lagi. Belum ada solusi yang pasti. Iya iya engga engga.,Narasi Newsroom
@moradepadli5676,Prabowo aneh,Narasi Newsroom
@anggaviali1188,Nonton tanpa baca komen itu lebih baik,Narasi Newsroom
@derikoswaranda3500,woyyy mana ini?? ko komenan ga ada yg pro pa wowo ?? 😂😂😂,Narasi Newsroom
@yudihartono7255,"Benarkah ini bagian dr kebebasan berpendapat, ato cara halus utk mengontrol media2, sehingga kedepannya sesuai dg kemauan pemerintah??",Narasi Newsroom
@Alzhevi,Jawaban prabowo seperti bercerita dan membantah,Narasi Newsroom
@adekoswara6989,"""... apakah demo demo itu murni atau ada yg bayar...?"" NDASMU",Narasi Newsroom
@minongbolang,Ditanya apa jawabanya apa😢. Nggak nyambung 😢,Narasi Newsroom
@muhammadrizalulloh,11/100 is real ..sangat sabar sekali jurnalis untuk mendengarkan...cocok sekali jika d satukan bersama wakilnya..biar melantur keduanya,Narasi Newsroom
@alasantri1807,Undang wapres juga donkkkkk,Narasi Newsroom
@asepandriansah4567,Capek dah ...tapi lumayan nonton dialog ini penus istighfar,Narasi Newsroom
@sidqiasarah8136,"Apa gwe aj yg g tau ya,emang sekarang ad cek kesehatan gratis dari negara ya ..",Narasi Newsroom
@TheRozanz,"Untuk orang yang suka membaca, Prabowo sangat baik wawasan dan cara berbicaranya. Hehe hoho hihi haha.",Narasi Newsroom
@wlxnisonline,3 jam yapping,Narasi Newsroom
@TheBandit24,"terus kalo saya ber IQ 120+ tapi bertato, apa selaras dengan apa yg diomong presiden?!?",Narasi Newsroom
@abuusmanmuhammad9673,Mata Najwa dengan tatapan curiga dan tidak bersahabat,Narasi Newsroom
@rizkyafriansyah5433,President yang kurang wkwkwkw,Narasi Newsroom
@PratamaRama,Undang gibran sisan mestine😂😂,Narasi Newsroom
@andicahya2034,"Kalo bekas Orang militer mental nggk diragukan, Tapi sekelas Presiden gini ko public speaking nya ngalor ngidul nggk ngejawab pertanyaan sama sekali.",Narasi Newsroom
@miftahululum4268,sekrang gk perlu menyeludupan pak kan impornya unlimitid ga dibatasin,Narasi Newsroom
@faisalhamdi9193,Barakallah pak Fii Amanillah,Narasi Newsroom
@HeriUlung-f1g,"Aku cuma mau bilang, oke gass oke gass",Narasi Newsroom
@holyguy-s3y,"Pemberantasan korupsi dengan gaji hakim dinaikkan (?)

“Seandainya seorang anak Adam memiliki satu lembah emas, tentu ia menginginkan dua lembah lainnya, dan sama sekali tidak akan merasa puas hingga dikubur tanah..""",Narasi Newsroom
@NatsukoTachibana,Kenapa pas giliran Najwa Shihab yang bertanya tb tb waktunya habis? Padahal kesempatan yang diberikan ke jurnalis jurnalis sebelumnya ckp panjang kok. Pdhal pertanyaan mbak Nana yg akhir akhir ini mengkhawatirkan warga,Narasi Newsroom
@wijch,😢,Narasi Newsroom
